Kia Carnival,$ 58 500                                                                                                                                                                                                                                                                                                                                  5 137 470 сом,2022г.3.5л.автоматминивэнбензинрульслева8000км,https://im.mashina.kg/tachka/images//a/0/d/a0d4f2c0457b68895d48679242091c48_240x180.jpg
Subaru Outback,$ 20 500                                                                                                                                                                                                                                                                                                                                  1 800 310 сом,2016г.2.5л.вариаторуниверсалбензинрульслева101000км,https://im.mashina.kg/tachka/images//7/2/8/728f407991fa3eb528a6eeae563e849f_240x180.jpg
Kia K5 III Седан,$ 26 300                                                                                                                                                                                                                                                                                                                                  2 309 666 сом,2021г.2л.автоматседанбензинрульслева64000км,https://im.mashina.kg/tachka/images//5/7/b/57b5198dd5ee5eee893f7f332b41765b_240x180.jpg
Lexus UX,$ 35 000                                                                                                                                                                                                                                                                                                                                  3 073 700 сом,2019г.2л.вариаторвнедорожник5дв.гибридрульслева15000км,https://im.mashina.kg/tachka/images//e/8/f/e8f353e0eeb3701a73b0469860139286_240x180.jpg
BMW 5 серии,$ 34 700                                                                                                                                                                                                                                                                                                                                  3 047 354 сом,2018г.3л.автоматседанбензинрульслева58000км,https://im.mashina.kg/tachka/images//9/e/8/9e83ed714746971ea006b7f6974f4b6f_240x180.jpg
Subaru Crosstrek,$ 15 999                                                                                                                                                                                                                                                                                                                                  1 405 032 сом,2017г.2л.вариаторвнедорожник5дв.бензинрульслева85000км,https://im.mashina.kg/tachka/images//b/b/e/bbe9213086c58916e31cd05f41abd4d1_240x180.jpg
Toyota Camry,$ 12 700                                                                                                                                                                                                                                                                                                                                  1 115 314 сом,2005г.2.4л.автоматседанбензинрульслева300000км,https://im.mashina.kg/tachka/images//f/c/2/fc289ae954f30c5a6695806839d05751_240x180.jpg
Lexus GX,$ 50 000                                                                                                                                                                                                                                                                                                                                  4 391 000 сом,2014г.4.6л.автоматвнедорожник5дв.бензинрульслева45000км,https://im.mashina.kg/tachka/images//f/d/7/fd7c51ad99d749e97c732a46854f5b6a_240x180.jpg
Toyota Camry,$ 13 000                                                                                                                                                                                                                                                                                                                                  1 141 660 сом,2013г.2.5л.автоматседанбензинрульслева132000км,https://im.mashina.kg/tachka/images//9/0/b/90ba52828fa51000951364ccd46811ea_240x180.jpg
Toyota Camry,$ 9 300                                                                                                                                                                                                                                                                                                                                  816 726 сом,2004г.2.4л.автоматседанбензинрульслева200000км,https://im.mashina.kg/tachka/images//1/6/d/16d27cee157709b67c0c22e005445b87_240x180.jpg
Kia Sorento,$ 37 800                                                                                                                                                                                                                                                                                                                                  3 319 596 сом,2021г.2.2л.роботвнедорожник5дв.дизельрульслева21500км,https://im.mashina.kg/tachka/images//c/3/5/c35779042892d52db1501dbc0e77b24f_240x180.jpg
Toyota Camry,$ 44 800                                                                                                                                                                                                                                                                                                                                  3 934 336 сом,2021г.2.5л.автоматседанбензинрульслева21000км,https://im.mashina.kg/tachka/images//f/1/9/f199dd83cd07948024fcd7a55ece38e7_240x180.jpg
BMW 5 серии,$ 55 000                                                                                                                                                                                                                                                                                                                                  4 830 100 сом,2020г.2л.автоматседандизельрульслева99000км,https://im.mashina.kg/tachka/images//8/a/e/8ae309e024d9684c8b90b10c4ee3c6ca_240x180.jpg
Subaru Forester,$ 11 500                                                                                                                                                                                                                                                                                                                                  1 009 930 сом,2011г.2.5л.автоматвнедорожник5дв.бензинрульслева133000км,https://im.mashina.kg/tachka/images//1/e/5/1e5913dce510ee4893e8926cf5dfb141_240x180.jpg
Hyundai Sonata,$ 13 000                                                                                                                                                                                                                                                                                                                                  1 141 660 сом,2018г.2л.автоматседангазрульслева220000км,https://im.mashina.kg/tachka/images//9/0/3/90323640ea22e9aeac18897a4590057e_240x180.jpg
Lexus GX,$ 55 500                                                                                                                                                                                                                                                                                                                                  4 874 010 сом,2017г.4.6л.автоматвнедорожник5дв.бензинрульслева201000км,https://im.mashina.kg/tachka/images//0/9/1/0916d2f638976124a43c4d08d64306a8_240x180.jpg
Kia Sportage,$ 18 000                                                                                                                                                                                                                                                                                                                                  1 580 760 сом,2019г.2л.механикавнедорожник5дв.бензинрульслева37700км,https://im.mashina.kg/tachka/images//b/d/a/bda4eec4819c56d5785b5f9e666b10b3_240x180.jpg
Honda Inspire,$ 7 900                                                                                                                                                                                                                                                                                                                                  693 778 сом,2003г.3л.автоматседанбензинрульсправа135158км,https://im.mashina.kg/tachka/images//e/b/c/ebcbf68fc29f0bd030c654a341c2ba0e_240x180.jpg
Nissan Pathfinder,$ 11 500                                                                                                                                                                                                                                                                                                                                  1 009 930 сом,2005г.4л.автоматвнедорожник5дв.бензинрульслева138000км,https://im.mashina.kg/tachka/images//0/0/f/00f7864c4c2162711edc92b95ef81186_240x180.jpg
Toyota Camry,$ 18 500                                                                                                                                                                                                                                                                                                                                  1 624 670 сом,2017г.2.5л.автоматседанбензинрульслева118000км,https://im.mashina.kg/tachka/images//6/e/e/6ee197885d959a00e87b25e62f9069d0_240x180.jpg
Chevrolet Cruze,$ 6 300                                                                                                                                                                                                                                                                                                                                  553 266 сом,2011г.1.8л.автоматседанбензинрульслева126184км,https://im.mashina.kg/tachka/images//8/7/5/8753c17cae77bb4e6c5879c263e81ff1_240x180.jpg
Chevrolet TrailBlazer,$ 10 000                                                                                                                                                                                                                                                                                                                                  878 200 сом,2004г.4.2л.автоматвнедорожник5дв.бензинрульслева235000км,https://im.mashina.kg/tachka/images//c/6/6/c662ddc4093a6a1521ea93520335bcf5_240x180.jpg
